SF,Distancia,RSSI,SNR,PDR,Autonomia_Horas,Delta_Tiempo_ms
SF7,100,-85.0,12.0,51.7,115.4,2515.8
SF7,100,-88.0,11.0,3.1,115.4,7513.543212890625
SF7,100,-79.0,13.0,6.1,115.4,2489.1298828125
SF7,100,-79.0,13.0,100.0,115.4,2515.8
SF7,100,-86.0,12.0,100.0,115.4,2466.99267578125
SF7,100,-85.0,12.0,100.0,115.4,2497.485107421875
SF7,100,-86.0,11.0,100.0,115.4,2503.474609375
SF7,100,-85.0,12.0,100.0,115.4,2494.520263671875
SF7,100,-82.0,12.0,100.0,115.4,2506.329345703125
SF7,100,-81.0,12.0,100.0,115.4,2501.033203125
SF7,100,-81.0,12.0,100.0,115.4,2496.0166015625
SF7,100,-82.0,12.0,100.0,115.4,2504.74560546875
SF7,100,-85.0,12.0,100.0,115.4,2502.872802734375
SF7,100,-82.0,12.0,100.0,115.4,2500.9462890625
SF7,100,-80.0,12.0,100.0,115.4,2500.91748046875
SF7,100,-80.0,11.0,100.0,115.4,2497.99072265625
SF7,100,-85.0,12.0,100.0,115.4,2502.957275390625
SF7,100,-87.0,11.0,100.0,115.4,2500.69921875
SF7,100,-98.0,6.0,100.0,115.4,2503.54296875
SF7,100,-93.0,9.0,100.0,115.4,2496.192626953125
SF7,100,-99.0,4.0,100.0,115.4,2502.760986328125
SF7,100,-103.0,1.0,100.0,115.4,2503.943603515625
SF7,100,-97.0,6.0,100.0,115.4,2500.795166015625
SF7,100,-96.0,7.0,100.0,115.4,2498.04248046875
SF7,100,-98.0,6.0,100.0,115.4,2501.007080078125
SF7,100,-97.0,7.0,100.0,115.4,2500.949462890625
SF7,100,-99.0,5.0,100.0,115.4,2500.946533203125
SF7,100,-104.0,-1.0,100.0,115.4,2504.18603515625
SF7,100,-103.0,-1.0,100.0,115.4,2494.807861328125
SF7,100,-105.0,-2.0,100.0,115.4,2503.407958984375
SF7,100,-102.0,2.0,100.0,115.4,2502.592529296875
SF7,100,-103.0,-1.0,100.0,115.4,2499.044189453125
SF7,100,-94.0,9.0,100.0,115.4,2503.255859375
SF7,100,-92.0,10.0,100.0,115.4,2500.9873046875
SF7,100,-95.0,8.0,100.0,115.4,2500.808349609375
SF7,100,-92.0,10.0,100.0,115.4,2501.031005859375
SF7,100,-96.0,8.0,100.0,115.4,2500.76123046875
SF7,100,-99.0,5.0,100.0,115.4,2497.330810546875
SF7,100,-96.0,7.0,100.0,115.4,2502.505126953125
SF7,100,-88.0,11.0,100.0,115.4,2503.939453125
SF7,100,-94.0,8.0,100.0,115.4,2500.8076171875
SF7,100,-96.0,7.0,100.0,115.4,2498.055419921875
SF7,100,-95.0,8.0,100.0,115.4,2500.4970703125
SF7,100,-91.0,10.0,100.0,115.4,2503.386474609375
SF7,100,-91.0,11.0,100.0,115.4,2485.763671875
SF7,100,-87.0,11.0,100.0,115.4,2514.90087890625
SF7,100,-86.0,11.0,100.0,115.4,2500.226806640625
SF7,100,-85.0,12.0,100.0,115.4,2500.8466796875
SF7,100,-83.0,12.0,100.0,115.4,2498.84326171875
SF7,100,-83.0,12.0,100.0,115.4,2497.11083984375
SF7,100,-82.0,13.0,100.0,115.4,2506.59912109375
SF7,100,-82.0,13.0,100.0,115.4,2494.63330078125
SF7,100,-82.0,12.0,100.0,115.4,2502.193603515625
SF9,100,-83.0,9.0,100.0,81.1,123686.91015625
SF9,100,-90.0,8.0,200.0,81.1,110875.16577148438
SF9,100,-91.0,8.0,150.0,81.1,2480.751953125
SF9,100,-87.0,10.0,133.3,81.1,2504.129638671875
SF9,100,-100.0,3.0,125.0,81.1,2498.955322265625
SF9,100,-94.0,7.0,120.0,81.1,2502.678955078125
SF9,100,-103.0,-1.0,116.7,81.1,2500.3369140625
SF9,100,-92.0,9.0,114.3,81.1,2501.85888671875
SF9,100,-92.0,7.0,112.5,81.1,2497.039794921875
SF9,100,-89.0,8.0,111.1,81.1,2502.359619140625
SF9,100,-89.0,8.0,110.0,81.1,2504.6376953125
SF9,100,-90.0,9.0,109.1,81.1,2503.51220703125
SF9,100,-90.0,9.0,108.3,81.1,2498.3291015625
SF9,100,-90.0,9.0,107.7,81.1,2501.017822265625
SF9,100,-87.0,9.0,107.1,81.1,2505.2646484375
SF9,100,-95.0,6.0,106.7,81.1,2500.800048828125
SF9,100,-94.0,8.0,106.2,81.1,2500.105712890625
SF9,100,-92.0,8.0,105.9,81.1,2500.96630859375
SF9,100,-90.0,8.0,105.6,81.1,2500.77294921875
SF9,100,-91.0,8.0,105.3,81.1,2500.81298828125
SF9,100,-91.0,7.0,105.0,81.1,2500.17822265625
SF9,100,-90.0,9.0,104.8,81.1,2501.812255859375
SF9,100,-92.0,8.0,104.5,81.1,2501.08935546875
SF9,100,-93.0,8.0,104.3,81.1,2500.851318359375
SF9,100,-90.0,9.0,104.2,81.1,2499.13134765625
SF9,100,-95.0,7.0,104.0,81.1,2502.349853515625
SF9,100,-89.0,8.0,103.8,81.1,2501.73046875
SF9,100,-100.0,2.0,103.7,81.1,2502.08251953125
SF9,100,-99.0,4.0,103.6,81.1,2501.85595703125
SF9,100,-100.0,1.0,103.4,81.1,2501.01953125
SF9,100,-90.0,9.0,103.3,81.1,2500.98486328125
SF9,100,-98.0,5.0,103.2,81.1,2496.0390625
SF9,100,-103.0,-1.0,103.1,81.1,2506.155029296875
SF9,100,-104.0,-3.0,103.0,81.1,2497.520263671875
SF9,100,-104.0,-1.0,102.9,81.1,2501.5888671875
SF9,100,-100.0,3.0,102.9,81.1,2501.7392578125
SF9,100,-102.0,-2.0,102.8,81.1,2500.98291015625
SF9,100,-95.0,7.0,102.7,81.1,2502.589111328125
SF9,100,-97.0,6.0,102.6,81.1,2497.53955078125
SF9,100,-100.0,2.0,102.6,81.1,2503.868896484375
SF9,100,-100.0,2.0,102.5,81.1,2492.806640625
SF9,100,-91.0,8.0,102.4,81.1,2508.970458984375
SF9,100,-92.0,8.0,102.4,81.1,2497.189453125
SF9,100,-104.0,-2.0,102.3,81.1,2505.0986328125
SF9,100,-92.0,9.0,102.3,81.1,2499.942138671875
SF9,100,-91.0,8.0,102.2,81.1,2497.53125
SF9,100,-90.0,8.0,102.2,81.1,2499.922119140625
SF9,100,-89.0,8.0,102.1,81.1,2500.92333984375
SF9,100,-98.0,4.0,102.1,81.1,2503.093505859375
SF9,100,-88.0,9.0,102.0,81.1,2500.540771484375
SF9,100,-89.0,9.0,102.0,81.1,2497.39306640625
SF12,100,-84.0,3.0,14.3,46.9,42354.850830078125
SF12,100,-82.0,3.0,25.0,46.9,2486.02392578125
SF12,100,-79.0,3.0,33.3,46.9,2501.880615234375
SF12,100,-88.0,3.0,36.4,46.9,5000.61865234375
SF12,100,-90.0,2.0,41.7,46.9,2503.21435546875
SF12,100,-94.0,3.0,46.2,46.9,2500.019287109375
SF12,100,-90.0,2.0,50.0,46.9,2501.83642578125
SF12,100,-86.0,3.0,53.3,46.9,2500.128662109375
SF12,100,-86.0,3.0,56.2,46.9,2496.44091796875
SF12,100,-86.0,3.0,58.8,46.9,2500.91455078125
SF12,100,-95.0,2.0,55.0,46.9,7507.188232421875
SF12,100,-88.0,3.0,42.9,46.9,20007.07666015625
SF12,100,-93.0,2.0,44.8,46.9,2500.031005859375
SF12,100,-91.0,2.0,46.7,46.9,2500.9111328125
SF12,100,-92.0,2.0,48.4,46.9,2501.91796875
SF12,100,-94.0,3.0,34.0,46.9,40014.16455078125
SF12,100,-88.0,3.0,35.4,46.9,2501.008056640625
SF12,100,-79.0,4.0,36.7,46.9,2501.37548828125
SF12,100,-75.0,3.0,38.0,46.9,2500.63232421875
SF7,200,-105.0,-8.0,33.3,115.4,2515.8
SF7,200,-105.0,-7.0,50.0,115.4,2488.234619140625
SF7,200,-105.0,-9.0,60.0,115.4,2500.833984375
SF7,200,-105.0,-6.0,57.1,115.4,5000.78466796875
SF7,200,-102.0,1.0,62.5,115.4,2504.653564453125
SF7,200,-97.0,7.0,66.7,115.4,2499.723388671875
SF7,200,-102.0,1.0,70.0,115.4,2501.84375
SF7,200,-99.0,4.0,61.5,115.4,7502.671875
SF7,200,-99.0,5.0,64.3,115.4,2497.502685546875
SF7,200,-98.0,5.0,66.7,115.4,2498.634765625
SF7,200,-92.0,9.0,68.7,115.4,2502.88623046875
SF7,200,-94.0,9.0,70.6,115.4,2501.777587890625
SF7,200,-92.0,9.0,72.2,115.4,2500.003173828125
SF7,200,-93.0,8.0,73.7,115.4,2499.992919921875
SF7,200,-93.0,9.0,75.0,115.4,2499.1103515625
SF7,200,-97.0,7.0,76.2,115.4,2503.708984375
SF7,200,-96.0,7.0,77.3,115.4,2500.7470703125
SF7,200,-94.0,8.0,78.3,115.4,2501.2197265625
SF7,200,-95.0,8.0,79.2,115.4,2500.504638671875
SF7,200,-95.0,7.0,80.0,115.4,2501.82666015625
SF7,200,-100.0,4.0,80.8,115.4,2503.14501953125
SF7,200,-97.0,7.0,81.5,115.4,2500.6328125
SF7,200,-99.0,5.0,82.1,115.4,2498.22900390625
SF7,200,-94.0,8.0,82.8,115.4,2500.180419921875
SF7,200,-94.0,9.0,83.3,115.4,2499.937255859375
SF7,200,-99.0,4.0,83.9,115.4,2501.690673828125
SF7,200,-103.0,1.0,84.4,115.4,2504.739013671875
SF7,200,-100.0,4.0,84.8,115.4,2497.77880859375
SF7,200,-104.0,0.0,85.3,115.4,2502.218505859375
SF7,200,-94.0,8.0,85.7,115.4,2502.647705078125
SF7,200,-98.0,6.0,86.1,115.4,2498.078125
SF7,200,-96.0,7.0,86.5,115.4,2500.103271484375
SF7,200,-100.0,4.0,86.8,115.4,2503.443115234375
SF7,200,-94.0,9.0,87.2,115.4,2501.781494140625
SF7,200,-92.0,10.0,87.5,115.4,2500.403564453125
SF7,200,-96.0,7.0,87.8,115.4,2501.05126953125
SF7,200,-95.0,8.0,88.1,115.4,2497.66943359375
SF7,200,-94.0,9.0,88.4,115.4,2500.96875
SF7,200,-92.0,9.0,88.6,115.4,2500.76806640625
SF7,200,-92.0,10.0,88.9,115.4,2503.613037109375
SF7,200,-92.0,10.0,89.1,115.4,2495.567626953125
SF7,200,-92.0,9.0,89.4,115.4,2506.036865234375
SF7,200,-90.0,10.0,89.6,115.4,2501.520751953125
SF7,200,-92.0,9.0,89.8,115.4,2500.937255859375
SF7,200,-95.0,8.0,90.0,115.4,2499.58154296875
SF9,200,-100.0,4.0,100.0,81.1,86025.52856445312
SF9,200,-90.0,8.0,100.0,81.1,2468.25146484375
SF9,200,-87.0,8.0,100.0,81.1,2497.8583984375
SF9,200,-86.0,9.0,100.0,81.1,2501.195068359375
SF9,200,-84.0,9.0,100.0,81.1,2500.777587890625
SF9,200,-83.0,8.0,100.0,81.1,2500.883056640625
SF9,200,-87.0,8.0,100.0,81.1,2500.777587890625
SF9,200,-84.0,9.0,100.0,81.1,2500.07763671875
SF9,200,-83.0,8.0,100.0,81.1,2501.948486328125
SF9,200,-85.0,9.0,100.0,81.1,2507.943115234375
SF9,200,-87.0,8.0,100.0,81.1,2502.686767578125
SF9,200,-85.0,10.0,100.0,81.1,2502.974853515625
SF9,200,-84.0,10.0,100.0,81.1,2498.905517578125
SF9,200,-83.0,9.0,100.0,81.1,2501.727783203125
SF9,200,-85.0,10.0,100.0,81.1,2501.094482421875
SF9,200,-84.0,9.0,100.0,81.1,2500.37158203125
SF9,200,-84.0,10.0,100.0,81.1,2499.41064453125
SF9,200,-83.0,9.0,100.0,81.1,2504.02197265625
SF9,200,-82.0,10.0,100.0,81.1,2500.859619140625
SF9,200,-82.0,10.0,100.0,81.1,2493.248291015625
SF9,200,-83.0,10.0,100.0,81.1,2506.544189453125
SF9,200,-83.0,10.0,100.0,81.1,2495.98095703125
SF9,200,-83.0,9.0,100.0,81.1,2505.574462890625
SF9,200,-85.0,10.0,100.0,81.1,2502.970703125
SF9,200,-85.0,10.0,100.0,81.1,2493.6962890625
SF9,200,-85.0,10.0,100.0,81.1,2499.2529296875
SF9,200,-85.0,10.0,100.0,81.1,2502.408935546875
SF9,200,-86.0,9.0,100.0,81.1,2508.22314453125
SF9,200,-86.0,9.0,100.0,81.1,2492.404052734375
SF9,200,-86.0,9.0,100.0,81.1,2502.444091796875
SF9,200,-85.0,10.0,100.0,81.1,2508.01611328125
SF9,200,-85.0,9.0,100.0,81.1,2499.026611328125
SF9,200,-85.0,10.0,100.0,81.1,2500.655029296875
SF9,200,-84.0,10.0,100.0,81.1,2501.25
SF9,200,-88.0,9.0,100.0,81.1,2502.630615234375
SF9,200,-87.0,8.0,100.0,81.1,2498.9033203125
SF9,200,-86.0,9.0,100.0,81.1,2500.83447265625
SF9,200,-89.0,8.0,100.0,81.1,2499.220947265625
SF9,200,-87.0,9.0,100.0,81.1,2502.630859375
SF9,200,-86.0,9.0,100.0,81.1,2500.65283203125
SF9,200,-87.0,9.0,100.0,81.1,2501.045654296875
SF9,200,-88.0,9.0,100.0,81.1,2500.9794921875
SF9,200,-86.0,9.0,100.0,81.1,2499.01708984375
SF9,200,-86.0,9.0,100.0,81.1,2497.96240234375
SF9,200,-87.0,9.0,100.0,81.1,2505.84716796875
